------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                                   
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
size                                  0.01%            4.671us          0.01%            4.671us          4.671us          0.00%            4.096us          4.096us          1                []                                             
embedding                             0.08%            63.075us         0.32%            257.599us        257.599us        0.14%            257.024us        257.024us        1                []                                             
size                                  0.00%            3.412us          0.00%            3.412us          3.412us          0.00%            3.072us          3.072us          1                []                                             
embedding                             0.04%            33.917us         0.23%            191.112us        191.112us        0.11%            198.592us        198.592us        1                []                                             
reshape                               0.01%            9.419us          0.02%            15.335us         15.335us         0.01%            15.360us         15.360us         1                []                                             
view                                  0.01%            5.916us          0.01%            5.916us          5.916us          0.00%            6.144us          6.144us          1                []                                             
index_select                          0.17%            136.069us        0.17%            136.069us        136.069us        0.09%            153.600us        153.600us        1                []                                             
view                                  0.01%            5.791us          0.01%            5.791us          5.791us          0.00%            2.048us          2.048us          1                []                                             
permute                               0.06%            45.182us         0.06%            50.024us         50.024us         0.03%            49.152us         49.152us         1                []                                             
as_strided                            0.01%            4.842us          0.01%            4.842us          4.842us          0.00%            4.192us          4.192us          1                []                                             
size                                  0.00%            3.891us          0.00%            3.891us          3.891us          0.00%            3.072us          3.072us          1                []                                             
zeros                                 0.02%            20.047us         0.08%            63.419us         63.419us         0.03%            62.464us         62.464us         1                []                                             
empty                                 0.01%            8.759us          0.01%            8.759us          8.759us          0.01%            9.216us          9.216us          1                []                                             
zero_                                 0.02%            13.944us         0.04%            34.613us         34.613us         0.02%            34.848us         34.848us         1                []                                             
fill_                                 0.03%            20.669us         0.03%            20.669us         20.669us         0.01%            21.504us         21.504us         1                []                                             
size                                  0.00%            3.032us          0.00%            3.032us          3.032us          0.00%            3.072us          3.072us          1                []                                             
